town,period,population,completed_dwellings
Fictional 01,Year 1,15600,85
Fictional 01,Year 2,15858,148
Fictional 01,Year 3,15773,164
Fictional 02,Year 1,19081,193
Fictional 02,Year 2,19160,174
Fictional 02,Year 3,19300,82
Fictional 03,Year 1,22661,173
Fictional 03,Year 2,22662,142
Fictional 03,Year 3,22800,165
Fictional 04,Year 1,26145,77
Fictional 04,Year 2,26330,
Fictional 04,Year 3,26561,102
Fictional 05,Year 1,29700,201
Fictional 05,Year 2,29672,230
Fictional 05,Year 3,30052,103
Fictional 06,Year 1,33211,185
Fictional 06,Year 2,33288,168
Fictional 06,Year 3,33351,107
