town,person_id,decision
Fictional 01,F01-01,accepted
Fictional 01,F01-02,accepted
Fictional 01,F01-03,accepted
Fictional 01,F01-04,review
Fictional 01,F01-05,review
Fictional 01,F01-06,not_observed
Fictional 01,F01-07,not_observed
Fictional 01,F01-08,not_observed
Fictional 01,F01-09,not_observed
Fictional 01,F01-10,not_observed
Fictional 01,F01-11,not_observed
Fictional 01,F01-12,not_observed
Fictional 02,F02-01,accepted
Fictional 02,F02-02,accepted
Fictional 02,F02-03,accepted
Fictional 02,F02-04,accepted
Fictional 02,F02-05,accepted
Fictional 02,F02-06,review
Fictional 02,F02-07,review
Fictional 02,F02-08,not_observed
Fictional 02,F02-09,not_observed
Fictional 02,F02-10,not_observed
Fictional 02,F02-11,not_observed
Fictional 02,F02-12,not_observed
Fictional 03,F03-01,accepted
Fictional 03,F03-02,accepted
Fictional 03,F03-03,accepted
Fictional 03,F03-04,accepted
Fictional 03,F03-05,accepted
Fictional 03,F03-06,accepted
Fictional 03,F03-07,accepted
Fictional 03,F03-08,review
Fictional 03,F03-09,review
Fictional 03,F03-10,not_observed
Fictional 03,F03-11,not_observed
Fictional 03,F03-12,not_observed
Fictional 04,F04-01,accepted
Fictional 04,F04-02,accepted
Fictional 04,F04-03,accepted
Fictional 04,F04-04,accepted
Fictional 04,F04-05,review
Fictional 04,F04-06,review
Fictional 04,F04-07,not_observed
Fictional 04,F04-08,not_observed
Fictional 04,F04-09,not_observed
Fictional 04,F04-10,not_observed
Fictional 04,F04-11,not_observed
Fictional 04,F04-12,not_observed
Fictional 05,F05-01,accepted
Fictional 05,F05-02,accepted
Fictional 05,F05-03,accepted
Fictional 05,F05-04,accepted
Fictional 05,F05-05,accepted
Fictional 05,F05-06,accepted
Fictional 05,F05-07,accepted
Fictional 05,F05-08,accepted
Fictional 05,F05-09,review
Fictional 05,F05-10,review
Fictional 05,F05-11,not_observed
Fictional 05,F05-12,not_observed
Fictional 06,F06-01,accepted
Fictional 06,F06-02,accepted
Fictional 06,F06-03,accepted
Fictional 06,F06-04,accepted
Fictional 06,F06-05,accepted
Fictional 06,F06-06,accepted
Fictional 06,F06-07,review
Fictional 06,F06-08,review
Fictional 06,F06-09,not_observed
Fictional 06,F06-10,not_observed
Fictional 06,F06-11,not_observed
Fictional 06,F06-12,not_observed
