left_id,right_id,town,split
register_1920_01:L020,register_1930_01:L021,Auenfels,development
register_1920_01:L023,register_1930_01:L017,Auenfels,development
register_1920_01:L007,register_1930_01:L020,Auenfels,development
register_1920_01:L010,register_1930_01:L009,Auenfels,development
register_1920_01:L015,register_1930_01:L012,Auenfels,development
register_1920_01:L022,register_1930_01:L006,Auenfels,development
register_1920_01:L008,register_1930_01:L005,Auenfels,development
register_1920_01:L009,register_1930_01:L008,Auenfels,development
register_1920_01:L017,register_1930_01:L015,Auenfels,development
register_1920_01:L019,register_1930_01:L023,Auenfels,development
register_1920_01:L012,register_1930_01:L016,Auenfels,development
register_1920_01:L011,register_1930_01:L019,Auenfels,development
register_1920_01:L018,register_1930_01:L022,Auenfels,development
register_1920_01:L016,register_1930_01:L007,Auenfels,development
register_1920_01:L013,register_1930_02:L005,Auenfels,development
register_1920_01:L005,register_1930_02:L012,Auenfels,development
register_1920_01:L024,,Auenfels,development
register_1920_01:L021,,Auenfels,development
register_1920_01:L006,,Auenfels,development
register_1920_01:L014,,Auenfels,development
register_1920_02:L022,register_1930_02:L018,Birkenhafen,development
register_1920_02:L014,register_1930_02:L008,Birkenhafen,development
register_1920_02:L009,register_1930_02:L019,Birkenhafen,development
register_1920_02:L020,register_1930_02:L017,Birkenhafen,development
register_1920_02:L006,register_1930_02:L021,Birkenhafen,development
register_1920_02:L023,register_1930_02:L015,Birkenhafen,development
register_1920_02:L010,register_1930_02:L010,Birkenhafen,development
register_1920_02:L015,register_1930_02:L011,Birkenhafen,development
register_1920_02:L005,register_1930_02:L016,Birkenhafen,development
register_1920_02:L016,register_1930_02:L024,Birkenhafen,development
register_1920_02:L017,register_1930_02:L020,Birkenhafen,development
register_1920_02:L024,register_1930_02:L014,Birkenhafen,development
register_1920_02:L007,register_1930_02:L007,Birkenhafen,development
register_1920_02:L019,register_1930_02:L006,Birkenhafen,development
register_1920_02:L021,register_1930_03:L024,Birkenhafen,development
register_1920_02:L008,register_1930_03:L010,Birkenhafen,development
register_1920_02:L011,,Birkenhafen,development
register_1920_02:L013,,Birkenhafen,development
register_1920_02:L018,,Birkenhafen,development
register_1920_02:L012,,Birkenhafen,development
register_1920_03:L014,register_1930_03:L009,Eichenried,development
register_1920_03:L006,register_1930_03:L011,Eichenried,development
register_1920_03:L018,register_1930_03:L013,Eichenried,development
register_1920_03:L017,register_1930_03:L005,Eichenried,development
register_1920_03:L008,register_1930_03:L015,Eichenried,development
register_1920_03:L010,register_1930_03:L006,Eichenried,development
register_1920_03:L015,register_1930_03:L018,Eichenried,development
register_1920_03:L023,register_1930_03:L014,Eichenried,development
register_1920_03:L007,register_1930_03:L021,Eichenried,development
register_1920_03:L012,register_1930_03:L023,Eichenried,development
register_1920_03:L016,register_1930_03:L012,Eichenried,development
register_1920_03:L013,register_1930_03:L008,Eichenried,development
register_1920_03:L020,register_1930_03:L019,Eichenried,development
register_1920_03:L009,register_1930_03:L022,Eichenried,development
register_1920_03:L022,register_1930_04:L008,Eichenried,development
register_1920_03:L019,register_1930_04:L014,Eichenried,development
register_1920_03:L011,,Eichenried,development
register_1920_03:L021,,Eichenried,development
register_1920_03:L005,,Eichenried,development
register_1920_03:L024,,Eichenried,development
register_1920_04:L024,register_1930_04:L010,Falkenbrueck,development
register_1920_04:L020,register_1930_04:L019,Falkenbrueck,development
register_1920_04:L023,register_1930_04:L022,Falkenbrueck,development
register_1920_04:L009,register_1930_04:L021,Falkenbrueck,development
register_1920_04:L006,register_1930_04:L024,Falkenbrueck,development
register_1920_04:L021,register_1930_04:L020,Falkenbrueck,development
register_1920_04:L018,register_1930_04:L015,Falkenbrueck,development
register_1920_04:L005,register_1930_04:L005,Falkenbrueck,development
register_1920_04:L015,register_1930_04:L006,Falkenbrueck,development
register_1920_04:L016,register_1930_04:L017,Falkenbrueck,development
register_1920_04:L010,register_1930_04:L012,Falkenbrueck,development
register_1920_04:L017,register_1930_04:L007,Falkenbrueck,development
register_1920_04:L011,register_1930_04:L011,Falkenbrueck,development
register_1920_04:L019,register_1930_04:L009,Falkenbrueck,development
register_1920_04:L013,register_1930_01:L024,Falkenbrueck,development
register_1920_04:L012,register_1930_01:L013,Falkenbrueck,development
register_1920_04:L014,,Falkenbrueck,development
register_1920_04:L007,,Falkenbrueck,development
register_1920_04:L022,,Falkenbrueck,development
register_1920_04:L008,,Falkenbrueck,development
register_1920_05:L009,register_1930_05:L007,Lindenfurt,heldout
register_1920_05:L005,register_1930_05:L024,Lindenfurt,heldout
register_1920_05:L017,register_1930_05:L020,Lindenfurt,heldout
register_1920_05:L014,register_1930_05:L010,Lindenfurt,heldout
register_1920_05:L011,register_1930_05:L005,Lindenfurt,heldout
register_1920_05:L024,register_1930_05:L015,Lindenfurt,heldout
register_1920_05:L013,register_1930_05:L008,Lindenfurt,heldout
register_1920_05:L007,register_1930_05:L017,Lindenfurt,heldout
register_1920_05:L022,register_1930_05:L019,Lindenfurt,heldout
register_1920_05:L020,register_1930_05:L012,Lindenfurt,heldout
register_1920_05:L021,register_1930_05:L013,Lindenfurt,heldout
register_1920_05:L019,register_1930_05:L018,Lindenfurt,heldout
register_1920_05:L006,register_1930_05:L021,Lindenfurt,heldout
register_1920_05:L010,register_1930_05:L009,Lindenfurt,heldout
register_1920_05:L023,register_1930_06:L009,Lindenfurt,heldout
register_1920_05:L012,register_1930_06:L021,Lindenfurt,heldout
register_1920_05:L015,,Lindenfurt,heldout
register_1920_05:L018,,Lindenfurt,heldout
register_1920_05:L016,,Lindenfurt,heldout
register_1920_05:L008,,Lindenfurt,heldout
register_1920_06:L016,register_1930_06:L012,Sonnenried,heldout
register_1920_06:L007,register_1930_06:L014,Sonnenried,heldout
register_1920_06:L006,register_1930_06:L005,Sonnenried,heldout
register_1920_06:L012,register_1930_06:L023,Sonnenried,heldout
register_1920_06:L023,register_1930_06:L015,Sonnenried,heldout
register_1920_06:L022,register_1930_06:L010,Sonnenried,heldout
register_1920_06:L020,register_1930_06:L013,Sonnenried,heldout
register_1920_06:L009,register_1930_06:L008,Sonnenried,heldout
register_1920_06:L015,register_1930_06:L019,Sonnenried,heldout
register_1920_06:L005,register_1930_06:L006,Sonnenried,heldout
register_1920_06:L014,register_1930_06:L022,Sonnenried,heldout
register_1920_06:L010,register_1930_06:L024,Sonnenried,heldout
register_1920_06:L018,register_1930_06:L018,Sonnenried,heldout
register_1920_06:L019,register_1930_06:L020,Sonnenried,heldout
register_1920_06:L011,register_1930_07:L007,Sonnenried,heldout
register_1920_06:L008,register_1930_07:L010,Sonnenried,heldout
register_1920_06:L017,,Sonnenried,heldout
register_1920_06:L021,,Sonnenried,heldout
register_1920_06:L013,,Sonnenried,heldout
register_1920_06:L024,,Sonnenried,heldout
register_1920_07:L009,register_1930_07:L018,Tannenhafen,heldout
register_1920_07:L016,register_1930_07:L017,Tannenhafen,heldout
register_1920_07:L008,register_1930_07:L013,Tannenhafen,heldout
register_1920_07:L024,register_1930_07:L023,Tannenhafen,heldout
register_1920_07:L013,register_1930_07:L008,Tannenhafen,heldout
register_1920_07:L005,register_1930_07:L014,Tannenhafen,heldout
register_1920_07:L006,register_1930_07:L011,Tannenhafen,heldout
register_1920_07:L023,register_1930_07:L012,Tannenhafen,heldout
register_1920_07:L020,register_1930_07:L005,Tannenhafen,heldout
register_1920_07:L014,register_1930_07:L019,Tannenhafen,heldout
register_1920_07:L021,register_1930_07:L009,Tannenhafen,heldout
register_1920_07:L007,register_1930_07:L021,Tannenhafen,heldout
register_1920_07:L018,register_1930_07:L015,Tannenhafen,heldout
register_1920_07:L015,register_1930_07:L024,Tannenhafen,heldout
register_1920_07:L010,register_1930_08:L021,Tannenhafen,heldout
register_1920_07:L011,register_1930_08:L012,Tannenhafen,heldout
register_1920_07:L022,,Tannenhafen,heldout
register_1920_07:L017,,Tannenhafen,heldout
register_1920_07:L012,,Tannenhafen,heldout
register_1920_07:L019,,Tannenhafen,heldout
register_1920_08:L023,register_1930_08:L007,Wiesenfels,heldout
register_1920_08:L006,register_1930_08:L008,Wiesenfels,heldout
register_1920_08:L013,register_1930_08:L017,Wiesenfels,heldout
register_1920_08:L021,register_1930_08:L005,Wiesenfels,heldout
register_1920_08:L008,register_1930_08:L023,Wiesenfels,heldout
register_1920_08:L016,register_1930_08:L018,Wiesenfels,heldout
register_1920_08:L007,register_1930_08:L014,Wiesenfels,heldout
register_1920_08:L019,register_1930_08:L006,Wiesenfels,heldout
register_1920_08:L020,register_1930_08:L024,Wiesenfels,heldout
register_1920_08:L015,register_1930_08:L019,Wiesenfels,heldout
register_1920_08:L011,register_1930_08:L009,Wiesenfels,heldout
register_1920_08:L018,register_1930_08:L013,Wiesenfels,heldout
register_1920_08:L012,register_1930_08:L022,Wiesenfels,heldout
register_1920_08:L014,register_1930_08:L010,Wiesenfels,heldout
register_1920_08:L010,register_1930_05:L011,Wiesenfels,heldout
register_1920_08:L024,register_1930_05:L023,Wiesenfels,heldout
register_1920_08:L009,,Wiesenfels,heldout
register_1920_08:L005,,Wiesenfels,heldout
register_1920_08:L017,,Wiesenfels,heldout
register_1920_08:L022,,Wiesenfels,heldout
