town,period,population,completed_dwellings,accepted,review,not_observed,baseline_people,accepted_share,review_share,not_observed_share,dwellings_per_1000
Fictional 01,Year 1,15600,85.0,3,2,7,12,0.25,0.16666666666666666,0.5833333333333334,5.448717948717949
Fictional 01,Year 2,15858,148.0,3,2,7,12,0.25,0.16666666666666666,0.5833333333333334,9.33282885609787
Fictional 01,Year 3,15773,164.0,3,2,7,12,0.25,0.16666666666666666,0.5833333333333334,10.39751474037913
Fictional 02,Year 1,19081,193.0,5,2,5,12,0.4166666666666667,0.16666666666666666,0.4166666666666667,10.11477385881243
Fictional 02,Year 2,19160,174.0,5,2,5,12,0.4166666666666667,0.16666666666666666,0.4166666666666667,9.08141962421712
Fictional 02,Year 3,19300,82.0,5,2,5,12,0.4166666666666667,0.16666666666666666,0.4166666666666667,4.248704663212435
Fictional 03,Year 1,22661,173.0,7,2,3,12,0.5833333333333334,0.16666666666666666,0.25,7.634261506553109
Fictional 03,Year 2,22662,142.0,7,2,3,12,0.5833333333333334,0.16666666666666666,0.25,6.265995940340658
Fictional 03,Year 3,22800,165.0,7,2,3,12,0.5833333333333334,0.16666666666666666,0.25,7.2368421052631575
Fictional 04,Year 1,26145,77.0,4,2,6,12,0.3333333333333333,0.16666666666666666,0.5,2.9451137884872827
Fictional 04,Year 2,26330,,4,2,6,12,0.3333333333333333,0.16666666666666666,0.5,
Fictional 04,Year 3,26561,102.0,4,2,6,12,0.3333333333333333,0.16666666666666666,0.5,3.840216859304996
Fictional 05,Year 1,29700,201.0,8,2,2,12,0.6666666666666666,0.16666666666666666,0.16666666666666666,6.767676767676767
Fictional 05,Year 2,29672,230.0,8,2,2,12,0.6666666666666666,0.16666666666666666,0.16666666666666666,7.751415475869506
Fictional 05,Year 3,30052,103.0,8,2,2,12,0.6666666666666666,0.16666666666666666,0.16666666666666666,3.4273925196326367
Fictional 06,Year 1,33211,185.0,6,2,4,12,0.5,0.16666666666666666,0.3333333333333333,5.570443527746831
Fictional 06,Year 2,33288,168.0,6,2,4,12,0.5,0.16666666666666666,0.3333333333333333,5.046863734679164
Fictional 06,Year 3,33351,107.0,6,2,4,12,0.5,0.16666666666666666,0.3333333333333333,3.208299601211358
