left_id,town,status,right_id,best_candidate_id,score,margin,reverse_margin,reason
register_1920_01:L005,Auenfels,review,,register_1930_01:L006,0.571429,0.571429,0.178571,below_threshold
register_1920_01:L006,Auenfels,review,,register_1930_01:L019,0.635737,0.151451,0.364263,below_threshold
register_1920_01:L007,Auenfels,accepted,register_1930_01:L020,register_1930_01:L020,1.0,0.428571,0.381905,mutual_best_with_margin
register_1920_01:L008,Auenfels,accepted,register_1930_01:L005,register_1930_01:L005,0.9125,0.316071,0.41179,mutual_best_with_margin
register_1920_01:L009,Auenfels,accepted,register_1930_01:L008,register_1930_01:L008,1.0,1.0,1.0,mutual_best_with_margin
register_1920_01:L010,Auenfels,accepted,register_1930_01:L009,register_1930_01:L009,1.0,0.494581,0.44619,mutual_best_with_margin
register_1920_01:L011,Auenfels,accepted,register_1930_01:L019,register_1930_01:L019,1.0,0.512637,0.364263,mutual_best_with_margin
register_1920_01:L012,Auenfels,accepted,register_1930_01:L016,register_1930_01:L016,0.9125,0.286126,0.9125,mutual_best_with_margin
register_1920_01:L013,Auenfels,unmatched,,,,,,no_candidates
register_1920_01:L014,Auenfels,review,,register_1930_01:L019,0.594828,0.048042,0.364263,below_threshold
register_1920_01:L015,Auenfels,accepted,register_1930_01:L012,register_1930_01:L012,1.0,0.531746,0.548879,mutual_best_with_margin
register_1920_01:L016,Auenfels,accepted,register_1930_01:L007,register_1930_01:L007,0.935714,0.935714,0.935714,mutual_best_with_margin
register_1920_01:L017,Auenfels,accepted,register_1930_01:L015,register_1930_01:L015,0.95,0.331905,0.378571,mutual_best_with_margin
register_1920_01:L018,Auenfels,accepted,register_1930_01:L022,register_1930_01:L022,0.95,0.39929,0.434615,mutual_best_with_margin
register_1920_01:L019,Auenfels,accepted,register_1930_01:L023,register_1930_01:L023,0.9125,0.407081,0.364224,mutual_best_with_margin
register_1920_01:L020,Auenfels,review,,register_1930_01:L017,0.75,0.0,0.0,below_threshold
register_1920_01:L021,Auenfels,unmatched,,register_1930_01:L009,0.546667,0.041248,0.44619,below_threshold
register_1920_01:L022,Auenfels,review,,register_1930_01:L006,0.75,0.75,0.178571,below_threshold
register_1920_01:L023,Auenfels,review,,register_1930_01:L017,0.75,0.0,0.0,below_threshold
register_1920_01:L024,Auenfels,review,,register_1930_01:L009,0.55381,0.005534,0.44619,below_threshold
register_1920_02:L005,Birkenhafen,accepted,register_1930_02:L016,register_1930_02:L016,0.9125,0.536944,0.369167,mutual_best_with_margin
register_1920_02:L006,Birkenhafen,review,,register_1930_02:L021,0.725,0.110091,0.222639,below_threshold
register_1920_02:L007,Birkenhafen,review,,register_1930_02:L007,0.75,0.066097,0.288971,below_threshold
register_1920_02:L008,Birkenhafen,unmatched,,register_1930_02:L016,0.543333,0.223333,0.369167,below_threshold
register_1920_02:L009,Birkenhafen,accepted,register_1930_02:L019,register_1930_02:L019,1.0,1.0,1.0,mutual_best_with_margin
register_1920_02:L010,Birkenhafen,accepted,register_1930_02:L010,register_1930_02:L010,0.9125,0.235833,0.398214,mutual_best_with_margin
register_1920_02:L011,Birkenhafen,unmatched,,,,,,no_candidates
register_1920_02:L012,Birkenhafen,unmatched,,register_1930_02:L006,0.408242,0.408242,0.341758,below_threshold
register_1920_02:L013,Birkenhafen,review,,register_1930_02:L014,0.722222,0.144444,0.227778,below_threshold
register_1920_02:L014,Birkenhafen,review,,register_1930_02:L008,0.75,0.0,0.0,below_threshold
register_1920_02:L015,Birkenhafen,review,,register_1930_02:L011,0.7125,0.149524,0.198214,below_threshold
register_1920_02:L016,Birkenhafen,accepted,register_1930_02:L024,register_1930_02:L024,0.9125,0.366733,0.395637,mutual_best_with_margin
register_1920_02:L017,Birkenhafen,accepted,register_1930_02:L020,register_1930_02:L020,0.95,0.366667,0.366667,mutual_best_with_margin
register_1920_02:L018,Birkenhafen,unmatched,,,,,,no_candidates
register_1920_02:L019,Birkenhafen,review,,register_1930_02:L006,0.75,0.75,0.341758,below_threshold
register_1920_02:L020,Birkenhafen,accepted,register_1930_02:L017,register_1930_02:L017,0.923529,0.242338,0.923529,mutual_best_with_margin
register_1920_02:L021,Birkenhafen,review,,register_1930_02:L009,0.796606,0.234106,0.181697,below_threshold
register_1920_02:L022,Birkenhafen,review,,register_1930_02:L008,0.75,0.0,0.0,below_threshold
register_1920_02:L023,Birkenhafen,review,,register_1930_02:L015,0.7125,0.186839,0.2025,below_threshold
register_1920_02:L024,Birkenhafen,accepted,register_1930_02:L014,register_1930_02:L014,0.95,0.366667,0.227778,mutual_best_with_margin
register_1920_03:L005,Eichenried,unmatched,,register_1930_03:L008,0.466667,0.466667,0.422222,below_threshold
register_1920_03:L006,Eichenried,review,,register_1930_03:L009,0.75,0.0,0.0,below_threshold
register_1920_03:L007,Eichenried,accepted,register_1930_03:L021,register_1930_03:L021,1.0,0.270044,0.388895,mutual_best_with_margin
register_1920_03:L008,Eichenried,accepted,register_1930_03:L015,register_1930_03:L015,0.925,0.284444,0.386667,mutual_best_with_margin
register_1920_03:L009,Eichenried,accepted,register_1930_03:L022,register_1930_03:L022,1.0,0.593056,0.631643,mutual_best_with_margin
register_1920_03:L010,Eichenried,accepted,register_1930_03:L006,register_1930_03:L006,1.0,0.388895,0.388895,mutual_best_with_margin
register_1920_03:L011,Eichenried,review,,register_1930_03:L017,0.587607,0.054091,0.065385,below_threshold
register_1920_03:L012,Eichenried,accepted,register_1930_03:L023,register_1930_03:L023,0.876786,0.876786,0.374564,mutual_best_with_margin
register_1920_03:L013,Eichenried,accepted,register_1930_03:L008,register_1930_03:L008,0.922222,0.922222,0.422222,mutual_best_with_margin
register_1920_03:L014,Eichenried,review,,register_1930_03:L009,0.75,0.0,0.0,below_threshold
register_1920_03:L015,Eichenried,accepted,register_1930_03:L018,register_1930_03:L018,0.9125,0.9125,0.9125,mutual_best_with_margin
register_1920_03:L016,Eichenried,review,,register_1930_03:L012,0.619643,0.020754,0.070925,below_threshold
register_1920_03:L017,Eichenried,review,,register_1930_03:L005,0.75,0.19474,0.284615,below_threshold
register_1920_03:L018,Eichenried,accepted,register_1930_03:L013,register_1930_03:L013,0.925,0.322778,0.37,mutual_best_with_margin
