threshold,baseline,true_links,accepted,correct,false_links,review,unmatched,precision,recall,coverage,candidate_recall
0.55,80,64,48,46,2,20,12,0.9583333333333334,0.71875,0.6,0.875
0.6,80,64,48,46,2,20,12,0.9583333333333334,0.71875,0.6,0.875
0.65,80,64,48,46,2,20,12,0.9583333333333334,0.71875,0.6,0.875
0.7,80,64,47,45,2,21,12,0.9574468085106383,0.703125,0.5875,0.875
0.75,80,64,43,41,2,25,12,0.9534883720930233,0.640625,0.5375,0.875
0.8,80,64,38,38,0,30,12,1.0,0.59375,0.475,0.875
0.86,80,64,37,37,0,31,12,1.0,0.578125,0.4625,0.875
0.9,80,64,34,34,0,34,12,1.0,0.53125,0.425,0.875
0.95,80,64,22,22,0,46,12,1.0,0.34375,0.275,0.875
1.0,80,64,17,17,0,51,12,1.0,0.265625,0.2125,0.875
